model,dataset,category,name,slope,p_value,r_value
llama,wmt14_deen,ue,MSP,0.44524737149355803,1.355805615368304e-291,0.7239596818660442
llama,wmt14_deen,ue,PPL,-0.07643592420434935,1.0971868555479069e-10,-0.15149184256003254
llama,wmt14_deen,ue,MTE,-0.11260850071398291,1.6345495145172284e-22,-0.22748673707642367
llama,wmt14_deen,ue,MCSE,0.4282514495159372,2.91320396776428e-309,0.7383821819691819
llama,wmt14_deen,ue,MCNSE,-0.005596910177894556,0.6661714798686251,-0.01018653730859041
llama,wmt14_deen,ue,LSRL,0.059157445113196684,6.611163341307872e-05,0.09400353722496184
llama,wmt14_deen,metric,Comet-wmt22-comet-da,-0.027074556478743537,0.17558098951718934,-0.03197519131388346
llama,wmt14_deen,metric,XComet-XCOMET-XXL,-0.07262914078998868,0.004256960811371861,-0.06741983788823636
llama,wmt14_deen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.0005000694440780338,0.9771995319693887,-0.0006748574897476438
llama,wmt14_fren,ue,MSP,0.5186350831552103,1.0703617576425766e-305,0.7359534322607708
llama,wmt14_fren,ue,PPL,-0.07864757067915375,8.91315053376163e-28,-0.2539064354203116
llama,wmt14_fren,ue,MTE,-0.10228841097826537,1.3747417034504361e-49,-0.3394257485117472
llama,wmt14_fren,ue,MCSE,0.4773865231410081,0.0,0.7541626476908168
llama,wmt14_fren,ue,MCNSE,-0.047725004450233796,3.876461907905717e-05,-0.09701243978010159
llama,wmt14_fren,ue,LSRL,0.04682637646467579,0.0007705962427792081,0.07935476275076811
llama,wmt14_fren,metric,Comet-wmt22-comet-da,-0.0433650639199183,0.0024651088666952353,-0.07145860220527427
llama,wmt14_fren,metric,XComet-XCOMET-XXL,-0.07749814390408569,0.001941724181044701,-0.0731396421479352
llama,wmt14_fren,metric,metricx-metricx-24-hybrid-large-v2p6,0.010063415728693645,0.5341839660265331,0.014690029271324704
llama,wmt14_csen,ue,MSP,0.46650176505704855,0.0,0.7688792874067142
llama,wmt14_csen,ue,PPL,-0.06994222334077588,2.474969190624306e-13,-0.17275956845903154
llama,wmt14_csen,ue,MTE,-0.08289850991766161,5.944813213660464e-25,-0.24166935029962489
llama,wmt14_csen,ue,MCSE,0.4492047580144877,0.0,0.773943576442415
llama,wmt14_csen,ue,MCNSE,-0.0035256880944510506,0.7574756535253659,-0.00734285966023176
llama,wmt14_csen,ue,LSRL,0.045762011489176475,0.001503576305982553,0.07536767498349235
llama,wmt14_csen,metric,Comet-wmt22-comet-da,-0.03241059892472125,0.018716369816367068,-0.055864415471408135
llama,wmt14_csen,metric,XComet-XCOMET-XXL,-0.033217880743933066,0.09205835870947134,-0.040043306863049584
llama,wmt14_csen,metric,metricx-metricx-24-hybrid-large-v2p6,0.025605232683048113,0.07065007235992586,0.04296630903293473
llama,wmt14_ruen,ue,MSP,0.32887826386141067,2.090055422166125e-275,0.725939877363052
llama,wmt14_ruen,ue,PPL,-0.06924265812854294,4.082212376191833e-34,-0.29071095103156674
llama,wmt14_ruen,ue,MTE,-0.11779682724195388,9.548372673767664e-60,-0.38255770748044615
llama,wmt14_ruen,ue,MCSE,0.3872327498154194,0.0,0.7850267877475746
llama,wmt14_ruen,ue,MCNSE,-0.08760856495127209,1.0822131868648285e-16,-0.20036122872419687
llama,wmt14_ruen,ue,LSRL,-0.15263928661333162,3.88561503660328e-18,-0.2094977206248469
llama,wmt14_ruen,metric,Comet-wmt22-comet-da,-0.09961470517060406,1.9896471932152877e-10,-0.15431264331317895
llama,wmt14_ruen,metric,XComet-XCOMET-XXL,-0.029432331865877237,0.2721740326842772,-0.026789337109135895
llama,wmt14_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.027860799485135798,0.13037325220326684,-0.036897357326072716
llama,wmt19_ruen,ue,MSP,0.4550133977714146,0.0,0.785869797265271
llama,wmt19_ruen,ue,PPL,-0.09028043942254914,6.156224410295215e-23,-0.2325134388857814
llama,wmt19_ruen,ue,MTE,-0.14189480601094057,4.049812285681757e-56,-0.36430527130393564
llama,wmt19_ruen,ue,MCSE,0.35666247650854305,4.36831490856659e-295,0.732934260128952
llama,wmt19_ruen,ue,MCNSE,-0.09847589757496499,1.5467049621266897e-15,-0.18890346300661476
llama,wmt19_ruen,ue,LSRL,-0.061713516597154135,6.548415383620988e-05,-0.09522668758941571
llama,wmt19_ruen,metric,Comet-wmt22-comet-da,-0.03028202658985023,0.010890038801024887,-0.06081834481263343
llama,wmt19_ruen,metric,XComet-XCOMET-XXL,0.09020047499641462,5.850684445479515e-06,0.10802698946535617
llama,wmt19_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,0.04361166029153275,0.0012178900964721416,0.07721864783264779
llama,wmt19_fien,ue,MSP,0.4780212787135996,3.400515764259147e-291,0.7310748510069378
llama,wmt19_fien,ue,PPL,-0.014157667145609957,0.14966131913988043,-0.03453348886694512
llama,wmt19_fien,ue,MTE,-0.07691017758042994,1.4214723384336972e-13,-0.17590629388956458
llama,wmt19_fien,ue,MCSE,0.3854697863974777,3.986039292213973e-304,0.7417045561765543
llama,wmt19_fien,ue,MCNSE,-0.004456376131630826,0.7358028556592241,-0.008089974300149457
llama,wmt19_fien,ue,LSRL,0.08050494801526527,2.4689922501268137e-07,0.12324827336781023
llama,wmt19_fien,metric,Comet-wmt22-comet-da,-0.015760623410521167,0.28818049530111095,-0.025461946118378143
llama,wmt19_fien,metric,XComet-XCOMET-XXL,0.06679793501412822,0.005160995937024524,0.06698268977962929
llama,wmt19_fien,metric,metricx-metricx-24-hybrid-large-v2p6,0.05443814663281158,0.0014315654424617939,0.07633092468155449
llama,wmt19_deen,ue,MSP,0.447269902093362,2.1102532399912794e-287,0.7242390064152238
llama,wmt19_deen,ue,PPL,-0.045528763492019834,2.1092234829299873e-05,-0.10096024446792688
llama,wmt19_deen,ue,MTE,-0.13033962049258008,2.270156079272327e-30,-0.26759013300075024
llama,wmt19_deen,ue,MCSE,0.3145918728717103,4.55e-322,0.7520649015221564
llama,wmt19_deen,ue,MCNSE,-0.025399743989462525,0.06372797799653761,-0.04410448856708233
llama,wmt19_deen,ue,LSRL,0.08735943048266376,7.218076830773692e-09,0.13704772969615367
llama,wmt19_deen,metric,Comet-wmt22-comet-da,-0.17625841744197882,5.3460294057654456e-30,-0.2659135510872992
llama,wmt19_deen,metric,XComet-XCOMET-XXL,-0.11763198870093984,1.912909771121971e-10,-0.15069256081733837
llama,wmt19_deen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.05679176852438129,5.322180527564612e-05,-0.09595163857903179
llama,wmt19_lten,ue,MSP,0.42634790298129366,3.89670419201793e-309,0.7393668433190267
llama,wmt19_lten,ue,PPL,-0.04552893864651341,7.687008053092392e-05,-0.0933687833096529
llama,wmt19_lten,ue,MTE,-0.08108235974653044,8.902098631222117e-15,-0.1819707332183682
llama,wmt19_lten,ue,MCSE,0.45348389111825194,0.0,0.784889607364739
llama,wmt19_lten,ue,MCNSE,-0.004598383540389628,0.7343139189856002,-0.008031849336835865
llama,wmt19_lten,ue,LSRL,0.08615758257584286,1.7952143610203836e-08,0.13266434862622203
llama,wmt19_lten,metric,Comet-wmt22-comet-da,-0.017600110064278498,0.22292276230083918,-0.028837638636782355
llama,wmt19_lten,metric,XComet-XCOMET-XXL,0.09263951630141852,0.000218953976283266,0.08730341178506144
llama,wmt19_lten,metric,metricx-metricx-24-hybrid-large-v2p6,0.02959162405870436,0.08467565259556359,0.04078697488489485
gemma,wmt14_deen,ue,MSP,0.3954153353237482,3.408941486434963e-285,0.7226185142319446
gemma,wmt14_deen,ue,PPL,-0.07622080758353483,3.2359553775220964e-08,-0.13107336382522705
gemma,wmt14_deen,ue,MTE,-0.11809462113812755,6.78992894421073e-21,-0.22053795224566533
gemma,wmt14_deen,ue,MCSE,0.4863034299900036,0.0,0.7718247601177547
gemma,wmt14_deen,ue,MCNSE,0.009341494419917398,0.5257555806431745,0.015108384719083106
gemma,wmt14_deen,ue,LSRL,0.04608783415101588,0.0009206972262832158,0.07878615836680974
gemma,wmt14_deen,metric,Comet-wmt22-comet-da,-0.022751684279919037,0.2510337778845588,-0.027328341178359705
gemma,wmt14_deen,metric,XComet-XCOMET-XXL,-0.05284350881160577,0.027090906530380706,-0.05259496920733114
gemma,wmt14_deen,metric,metricx-metricx-24-hybrid-large-v2p6,0.0014360123489889005,0.9355329357295686,0.0019261186769899243
gemma,wmt14_fren,ue,MSP,0.485285294237522,1.8654069640427348e-284,0.7221193438416997
gemma,wmt14_fren,ue,PPL,-0.08761947331173961,8.560955039194427e-23,-0.23091995306019375
gemma,wmt14_fren,ue,MTE,-0.13768087602110554,6.334459489084059e-45,-0.3258131782542902
gemma,wmt14_fren,ue,MCSE,0.5670077277567164,0.0,0.7605937359836284
gemma,wmt14_fren,ue,MCNSE,-0.05178601823428713,1.0722154769332887e-05,-0.10456827656263765
gemma,wmt14_fren,ue,LSRL,0.02761277112728965,0.035007633063947885,0.05018661598604058
gemma,wmt14_fren,metric,Comet-wmt22-comet-da,-0.028052210501217537,0.04761732935273998,-0.047154953158086904
gemma,wmt14_fren,metric,XComet-XCOMET-XXL,-0.05067789769615318,0.03543478779369341,-0.05006975027861299
gemma,wmt14_fren,metric,metricx-metricx-24-hybrid-large-v2p6,0.016064511700259933,0.30184012312117275,0.024589962360523618
gemma,wmt14_csen,ue,MSP,0.5507568348726435,0.0,0.7989900502361141
gemma,wmt14_csen,ue,PPL,-0.048676332301917535,3.2042158561025294e-05,-0.0985878360118258
gemma,wmt14_csen,ue,MTE,-0.0998539854820687,2.050582717496458e-18,-0.2058253690787393
gemma,wmt14_csen,ue,MCSE,0.587240860587252,0.0,0.8229649371525554
gemma,wmt14_csen,ue,MCNSE,0.016733244853532222,0.22625479910740898,0.028752137827971175
gemma,wmt14_csen,ue,LSRL,0.04457306540787788,0.0007644996792842531,0.07985213288210483
gemma,wmt14_csen,metric,Comet-wmt22-comet-da,-0.03297348744601578,0.017942337380727754,-0.05620451852820786
gemma,wmt14_csen,metric,XComet-XCOMET-XXL,-0.04729720172923291,0.01836094330066755,-0.056001841795306186
gemma,wmt14_csen,metric,metricx-metricx-24-hybrid-large-v2p6,0.03486414197232464,0.013125936307223212,0.05889589398087754
gemma,wmt14_ruen,ue,MSP,0.37700426969409345,0.0,0.7805358615880017
gemma,wmt14_ruen,ue,PPL,-0.17466386951640836,4.612964677521216e-65,-0.39164769347596023
gemma,wmt14_ruen,ue,MTE,-0.23648539195986795,1.4324296781434983e-100,-0.4785655610819109
gemma,wmt14_ruen,ue,MCSE,0.4851011009456684,0.0,0.7807175697309443
gemma,wmt14_ruen,ue,MCNSE,-0.1365061678948684,7.016368525880816e-28,-0.25775687488715904
gemma,wmt14_ruen,ue,LSRL,-0.16700370133328224,1.3792333820289965e-25,-0.24659923922803934
gemma,wmt14_ruen,metric,Comet-wmt22-comet-da,-0.1031189649661642,1.1522606008674817e-11,-0.16149868445955246
gemma,wmt14_ruen,metric,XComet-XCOMET-XXL,-0.02125970252788027,0.40395526377596025,-0.019991123974057386
gemma,wmt14_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.046101363568795864,0.010474762710707292,-0.06126365580008407
gemma,wmt19_ruen,ue,MSP,0.6310986960169485,0.0,0.8133684503103557
gemma,wmt19_ruen,ue,PPL,-0.05540226904047291,1.3362371817063828e-09,-0.14370859885645432
gemma,wmt19_ruen,ue,MTE,-0.1064808078670902,4.372987515298906e-26,-0.24776908894203042
gemma,wmt19_ruen,ue,MCSE,0.5907446447676454,0.0,0.8040184527988264
gemma,wmt19_ruen,ue,MCNSE,-0.0659582182876502,1.016694128472238e-06,-0.11607863195439463
gemma,wmt19_ruen,ue,LSRL,-0.024590439843402912,0.08442536991598154,-0.04109669913420135
gemma,wmt19_ruen,metric,Comet-wmt22-comet-da,-0.03413428364343673,0.004084212264229536,-0.06833953046518078
gemma,wmt19_ruen,metric,XComet-XCOMET-XXL,0.12009899096905331,3.236492885367169e-09,0.14033322156190417
