model,dataset,metric,method,correction,prr_score
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP,RAW,0.2145477605731123
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP,RAW,0.22471368018385024
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP,RAW,0.3133775944176267
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP,RAW,0.19427739084106216
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP,RAW,0.2250884851388857
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP,RAW,0.08428189771095493
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP,RAW,0.1186858026958328
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP,RAW,0.2637615152781679
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP,DEG1,0.39600037732756665
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP,DEG1,0.4218511225689821
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP,DEG1,0.4362144666039458
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP,DEG1,0.30954734148017876
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP,DEG1,0.40328110464505706
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP,DEG1,0.4124445513870326
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP,DEG1,0.38188861726903683
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP,DEG1,0.354657349628274
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP,DEG2,0.41960619656496606
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP,DEG2,0.44121558393967913
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP,DEG2,0.46012660282185747
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP,DEG2,0.32437304303839365
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP,DEG2,0.40345945923799603
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP,DEG2,0.43672923115636936
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP,DEG2,0.37975771484246895
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP,DEG2,0.39213373234286386
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP,DEG3,0.4303580693049589
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP,DEG3,0.4417342300225981
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP,DEG3,0.46106660388496
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP,DEG3,0.2911366935213166
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP,DEG3,0.40645761998526475
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP,DEG3,0.411377106457688
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP,DEG3,0.3799372746414075
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP,DEG3,0.3949303295591034
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL,RAW,0.4293837205662254
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL,RAW,0.4496920876625436
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL,RAW,0.4135414522747371
Llama 3.1 8B,wmt14_fren,MetricX XXL,PPL,RAW,0.3190730336724598
Llama 3.1 8B,wmt19_deen,MetricX XXL,PPL,RAW,0.3900047065621488
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL,RAW,0.4818939043072037
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL,RAW,0.4344888631631551
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL,RAW,0.31059656919040257
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL,DEG1,0.4841096768215809
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL,DEG1,0.47271756595770353
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL,DEG1,0.48526593197862805
Llama 3.1 8B,wmt14_fren,MetricX XXL,PPL,DEG1,0.35664672495495475
Llama 3.1 8B,wmt19_deen,MetricX XXL,PPL,DEG1,0.4043603411513156
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL,DEG1,0.48235394010729216
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL,DEG1,0.4361615599575989
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL,DEG1,0.39595676292222504
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL,DEG2,0.40485204096330685
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL,DEG2,0.45701036123454947
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL,DEG2,0.4141618446041718
Llama 3.1 8B,wmt14_fren,MetricX XXL,PPL,DEG2,0.29405096778883194
Llama 3.1 8B,wmt19_deen,MetricX XXL,PPL,DEG2,0.39646893998805527
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL,DEG2,0.4931885828821558
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL,DEG2,0.4249739336258561
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL,DEG2,0.34799837142930556
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL,DEG3,0.48687599967838824
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL,DEG3,0.4767731182635206
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL,DEG3,0.4815772896748798
