model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP,0.2145477605731123
Llama 3.1 8B,wmt14_csen,MetricX XXL,MSP-LINE,0.39600037732756665
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP,0.22471368018385024
Llama 3.1 8B,wmt14_deen,MetricX XXL,MSP-LINE,0.4218511225689821
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP,0.3133775944176267
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MSP-LINE,0.4362144666039458
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP,0.19427739084106216
Llama 3.1 8B,wmt14_fren,MetricX XXL,MSP-LINE,0.30954734148017876
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP,0.2250884851388857
Llama 3.1 8B,wmt19_deen,MetricX XXL,MSP-LINE,0.40328110464505706
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP,0.08428189771095493
Llama 3.1 8B,wmt19_fien,MetricX XXL,MSP-LINE,0.4124445513870326
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP,0.1186858026958328
Llama 3.1 8B,wmt19_lten,MetricX XXL,MSP-LINE,0.38188861726903683
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP,0.2637615152781679
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MSP-LINE,0.354657349628274
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL,0.4293837205662254
Llama 3.1 8B,wmt14_csen,MetricX XXL,PPL-LINE,0.4841096768215809
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL,0.4496920876625436
Llama 3.1 8B,wmt14_deen,MetricX XXL,PPL-LINE,0.47271756595770353
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL,0.4135414522747371
Llama 3.1 8B,wmt14_ruen,MetricX XXL,PPL-LINE,0.48526593197862805
Llama 3.1 8B,wmt14_fren,MetricX XXL,PPL,0.3190730336724598
Llama 3.1 8B,wmt14_fren,MetricX XXL,PPL-LINE,0.35664672495495475
Llama 3.1 8B,wmt19_deen,MetricX XXL,PPL,0.3900047065621488
Llama 3.1 8B,wmt19_deen,MetricX XXL,PPL-LINE,0.4043603411513156
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL,0.4818939043072037
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL-LINE,0.48235394010729216
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL,0.4344888631631551
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL-LINE,0.4361615599575989
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL,0.31059656919040257
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL-LINE,0.39595676292222504
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE,0.4749132755064228
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE-LINE,0.5368657984988543
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE,0.47661987173850395
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE-LINE,0.5143989232018757
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE,0.45893218590588136
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE-LINE,0.5379301701008689
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE,0.3926666926172321
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE-LINE,0.434769278552827
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE,0.4274812687997017
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE-LINE,0.4708649450634988
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE,0.5198475240993802
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE-LINE,0.5088181747425637
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE,0.48746150760977847
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE-LINE,0.48933416997186974
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE,0.3558903496322687
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE-LINE,0.4543923396348868
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE,0.15690822671599486
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE-LINE,0.2924309635788915
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE,0.14009450492375244
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE-LINE,0.2912301540660173
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE,0.2024753363408694
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE-LINE,0.3040694278901123
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE,0.163122850981538
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE-LINE,0.24622383984671084
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE,0.14279602628312213
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE-LINE,0.3179271354194409
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE,-0.0016065487681357039
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE-LINE,0.2949550677489686
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE,0.06546519535236757
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE-LINE,0.2881613515677722
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE,0.21288636066474342
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE-LINE,0.2746162551092833
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE,0.4227659830612571
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE-LINE,0.42483218356295216
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,0.3779153531416084
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE-LINE,0.3796963924127393
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,0.4044478748838261
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE-LINE,0.4323645692338883
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,0.3239985382898059
