model,dataset,metric,method,prr_score
Llama 3.1 8B,gsm8k,Accuracy,MSP,0.32438775939605236
Llama 3.1 8B,gsm8k,Accuracy,MSP-LINE,0.3318206209289137
Llama 3.1 8B,gsm8k,Accuracy,PPL,0.3026300309614496
Llama 3.1 8B,gsm8k,Accuracy,PPL-LINE,0.37721543814788167
Llama 3.1 8B,gsm8k,Accuracy,MTE,0.33931452617747204
Llama 3.1 8B,gsm8k,Accuracy,MTE-LINE,0.3913843521497048
Llama 3.1 8B,gsm8k,Accuracy,MCSE,0.3511727186143658
Llama 3.1 8B,gsm8k,Accuracy,MCSE-LINE,0.34594546266669907
Llama 3.1 8B,gsm8k,Accuracy,MCNSE,0.34277015063985594
Llama 3.1 8B,gsm8k,Accuracy,MCNSE-LINE,0.36202698009770584
Llama 3.1 8B,gsm8k,Accuracy,LSRL,0.3632396053349672
Llama 3.1 8B,gsm8k,Accuracy,LSRL-LINE,0.3575747477543581
Gemma 2 9B,gsm8k,Accuracy,MSP,0.3028441948367712
Gemma 2 9B,gsm8k,Accuracy,MSP-LINE,0.2947431901329021
Gemma 2 9B,gsm8k,Accuracy,PPL,0.24825509077116434
Gemma 2 9B,gsm8k,Accuracy,PPL-LINE,0.35699336075088683
Gemma 2 9B,gsm8k,Accuracy,MTE,0.29151407538513324
Gemma 2 9B,gsm8k,Accuracy,MTE-LINE,0.3992003631530392
Gemma 2 9B,gsm8k,Accuracy,MCSE,0.3932644724525617
Gemma 2 9B,gsm8k,Accuracy,MCSE-LINE,0.3974304016330471
Gemma 2 9B,gsm8k,Accuracy,MCNSE,0.3560989881486637
Gemma 2 9B,gsm8k,Accuracy,MCNSE-LINE,0.3697977741632644
Gemma 2 9B,gsm8k,Accuracy,LSRL,0.39424192349781356
Gemma 2 9B,gsm8k,Accuracy,LSRL-LINE,0.39060866738757166
Llama 3.1 8B,xsum,Align Score,MSP,0.3276031491916531
Llama 3.1 8B,xsum,Align Score,MSP-LINE,0.3573824795767928
Llama 3.1 8B,xsum,Align Score,PPL,0.36913732454561765
Llama 3.1 8B,xsum,Align Score,PPL-LINE,0.36609442350408555
Llama 3.1 8B,xsum,Align Score,MTE,0.35693043645231126
Llama 3.1 8B,xsum,Align Score,MTE-LINE,0.353719083886227
Llama 3.1 8B,xsum,Align Score,MCSE,0.03256961650775154
Llama 3.1 8B,xsum,Align Score,MCSE-LINE,0.03713813818652344
Llama 3.1 8B,xsum,Align Score,MCNSE,0.023595555329887764
Llama 3.1 8B,xsum,Align Score,MCNSE-LINE,0.027481404489639216
Llama 3.1 8B,xsum,Align Score,LSRL,0.08802745862439594
Llama 3.1 8B,xsum,Align Score,LSRL-LINE,0.10008518347359309
Gemma 2 9B,xsum,Align Score,MSP,0.3507311045057958
Gemma 2 9B,xsum,Align Score,MSP-LINE,0.3782158053387235
Gemma 2 9B,xsum,Align Score,PPL,0.3540892065794288
Gemma 2 9B,xsum,Align Score,PPL-LINE,0.37200023340755844
Gemma 2 9B,xsum,Align Score,MTE,0.3332207892589499
Gemma 2 9B,xsum,Align Score,MTE-LINE,0.35558600937652074
Gemma 2 9B,xsum,Align Score,MCSE,0.0030731246183665554
Gemma 2 9B,xsum,Align Score,MCSE-LINE,0.029559869181364534
Gemma 2 9B,xsum,Align Score,MCNSE,0.016304873803436013
Gemma 2 9B,xsum,Align Score,MCNSE-LINE,0.031862006360423384
Gemma 2 9B,xsum,Align Score,LSRL,0.04407750343902802
Gemma 2 9B,xsum,Align Score,LSRL-LINE,0.08679496562307516
